Tweet_lemmatized
"['hopesjm', '🤪🤣🤣🤣🤫😭😭']"
"['andrearussett', 'offense', 'boyfriend', 'suck', 'meme']"
"['listerwill', 'tweet']"
"['greeniight', 'people', 'tweet']"
"['akochav', '🤝', 'school', 'language', 'department']"
"['jkgadsby', 'bedtime', 'story', 'block']"
"['lukasbattle', 'tweet', 'draft', 'screamed', 'meryl']"
"['rosewhatever', 'feel', 'moisturized']"
"['tonyfan', 'notification']"
"['enchantedherron', 'lauren']"
"['rt', 'shashashasha', 'extrovert', 'tweet', 'introvert', 'street']"
"['alicelfc', 'catch']"
"['thejosea', 'throwing', 'shade', 'dark', 'mode']"
"['imartinezp', 'cold', 'beverage', 'hot', 'take']"
"['osirissnapback', 'good', 'tweet']"
"['banditozach', 'proof\n', '\nhttpstcofbtuohoy']"
"['bugposting', 'nailed']"
"['zxinabjm', 'darkness', 'friend']"
"['ulatbulubulu', 'bud']"
"['meezyg', 'specificity', 'tweet', 'virgo', 'chart']"
"['milkstrology', 'air', 'meet', 'earth']"
"['slyfoxhound', 'tweet', 'effect']"
"['dreaminqhyuk', 'roty', 'proof']"
"['dreavc', 'upset', 'share', 'funny', 'tweet']"
"['beautychickee', 'youd']"
"['onehiatus', 'wouldnt', 'brilliam', 'person', 'today', 'phenominall', 'tweet', 'extraordinharry']"
"['gordie', 'popularity', 'sleep']"
"['carterhambley', 'day', 'mode', 'diet']"
"['filmlia', '👀']"
"['pethderek', 'demiburnett', 'tweet', 'union', 'square', 'subway', 'walkway', 'amp', 'broadway', 'amp', 'union', 'square', 'e', '👀']"
"['jackbenedwards', 'tweeting', 'productive']"
"['dncingmoonlight', 'wear', 'sunscreen']"
"['beebabs', 'ap', 'world', 'history', 'dbq']"
"['fathabutch', 'world']"
"['eugenemirman', 'invited', 'newspaper', 'happy', 'hour']"
"['tjcobainx', 'happy', 'asf', 'tj']"
"['soitfuckingoes', 'intellectual']"
"['giggiykoo', 'back', '']"
"['bugamashoo', 'true', 'diligence']"
"['spinubzilla', 'dj', 'khaled', 'voice']"
"['clapifyoulikeme', 'transscribe', 'hashtag', 'authenticity']"
"['scalzi', 'luggage', 'packed', 'day', 'ahead', 'dad', 'trip']"
"['riffska', 'galbiboy', 'therealjezreel', 'feel', 'championship']"
"['mrgoodbeard', 'httpstcomjlrdzr']"
"['tnitne', 'thread', 'week', 'tuesday']"
"['jewelstaite', 'virtual', 'reality']"
"['louanben', 'reaction', 'tweet', 'easier']"
"['zachclayton', 'lurk', 'twitter']"
['lwhannell']
"['thomassanders', 'thomas', 'tweet']"
"['jhbteam', 'pennywise', 'check', '']"
"['imacboyz', 'love', '💙']"
"['snapbackrehab', 'back', 'sexy', 'back']"
"['vllxt', 'kilda', 'lapis', 'kinda', 'person']"
"['savinthebees', 'throwback', 'tuesday']"
"['nycphotoues', 'embrace']"
"['ohenekunta', 'chipsystryder', 'tweet', 'musician', 'back', 'entertainment']"
"['polocrates', 'love', 'share', 'love']"
"['shellhasdragons', '👀', 'check', 'union', 'square', 'subway', 'st', 'union', 'sq', 'w', 'entrance']"
"['demiburnett', 'magic']"
"['biytheambrose', 'ciao']"
"['snoopdogfanpage', 'ttttasty']"
"['jpbrammer', 'higher', 'honor', 'subject', 'twitter', 'mission']"
"['gainmutualsz', 'clown', 'clocked', 'early']"
"['list', 'make', 'list', '✅\n\nnow', 'io', 'pin', 'list', 'rearrange', 'swipe…', 'httpstcoxdbypgblnu']"
"['jefrinazri', 'tone', 'voice', 'game', 'strong']"
"['elbirdilara', 'handle', 'award', 'night', 'deserve', 'period']"
"['foodandpsych', 'breadahead', 'tweet', 'smell', 'cinnamon']"
"['underscorebryan', 'time', '', 'twitter', 'crush']"
"['catlawn', 'left']"
"['fatmasblog', 'easiest', 'remind', 'ready', 'mingle']"
"['thejosea', 'hip', 'eye', 'betray']"
"['thgoldenman', 'save', 'paper']"
"['nelatyolo', 'beautiful', 'wemetontwitter', 'success', 'story']"
"['greenchile', '']"
"['crawfordcollins', 'saved', 'halloween']"
"['hayxsmith', '💙']"
"['cherrysodapussy', 'change', 'display', 'web', '🌸']"
"['jckmull', 'make', 'happen', '😉']"
"['itsmeamped', 'httpstcoznprgays']"
"['kourtney', 'fair']"
"['luvsggukie', 'toe']"
"['chimmyjiminniee', 'httpstcodsfzuycbpg']"
"['sugarysaturn', 'window']"
"['thvaleofficial', 'fomoota', 'fear', 'missing', 'alien']"
"['partyharderson', 'farm', 'fresh']"
"['babysnitchery', 'timeline']"
"['rurusantos', 'bring', 'specie']"
"['immnassy', 'emotion']"
"['nikolailatnsov', 'witnessing', 'history', 'real', 'time']"
"['feelsradman', 'existential']"
"['luragroen', 'back', 'real', 'life', 'convos', 'thinking', 'tweet']"
"['jessismiles', 'twitter', 'inlaws']"
"['cloakzy', 'tweet', 'forward']"
"['ultsmx', 'officialmonstax', 'make', 'entrance']"
"['jinsgay', 'httpstcolabgc']"
"['azryah', 'bear', 'hug']"
"['rt', 'beegilly', 'friend', 'showing', 'meme', 'twitter', '', 'month', 'ago', 'httpstcorhtqcojy']"
"['landpsychology', 'tweet']"
"['gennabuck', 'halloween', 'tho']"
"['blakeir', 'intrigue']"
"['k', 'httpstcosevnfbngb']"
"['officialjlipper', 'httpstcozloufpkne']"
"['sahinsen', 'doin']"
"['nasafoadjei', 'whered', 'spider']"
"['toniemideyah', 'turn', 'dark', 'mode']"
"['colbysmugshot', 'jawline', 'tho']"
"['jaywonmf', 'turn', 'toasty']"
"['peacocktiffany', 'sky', 'limit']"
"['jhboe', 'swish']"
"['jpw', 'paint']"
['samemmers']
"['paidpeanuts', 'simon']"
"['kukukrayzy', 'home', 'today']"
"['thekinghusker', 'plane']"
"['thisisthefoxe', 'bird']"
"['ragy', 'finally', 'answering', 'ageold', 'question', '', 'sky', 'blue']"
"['bangtandipitous', 'color']"
[]
"['cynsantana', 'tweet', 'made', 'write', 'todo', 'list']"
"['baldboyblues', 'tweet', 'delete']"
"['cupidgrqnt', 'balloon']"
['cuteanimalvibes']
"['imactuallyivy', 'raspberry', 'filling']"
"['francielyruti', '💙']"
"['eyedraven', 'back']"
"['twcuddleston', 'belongs', 'museum', 'httpstcoxrxvusez']"
"['louistsocials', 'hawyeehoran', 'haw', 'yee']"
"['svraasiff', 'let', 'break']"
"['tweaksqt', 'energy', 'forever']"
"['harleymovienews', 'bird', 'flying', 'high', 'feel']"
"['javeigh', 'find', 'word']"
"['matthaig', 'free', 'pas']"
"['connersisk', 'httpstcoqvndlabl']"
"['sirenmika', 'show', 'draft']"
"['ira', '', 'pm', 'twitter', 'joined', 'chat\nlol', 'wrud']"
"['imvontee', 'as', 'family']"
"['headhighs', 'love', 'anime', 'mutuals', '\n\n█████', '\n█████', '\n█████', '', '', '\n█████', '', '', '', '\n█████', '\n█████', '\n█████', '\n█████', '', '', '\n█████', '', '', '', '\n█████']"
"['objsucks', 'missed', 'irl', 'connection', 'twitter', 'saga', 'starring', 'objsucks']"
"['jckmull', 'reflection', 'tweet']"
"['thelawboy', 'stomach', 'flipped']"
"['dorkeddie', 'loyal', 'mutuals']"
"['billnyi', 'great', 'listener']"
"['mthottic', 'httpstcopmhlgoui']"
"['httpthanj', 'like', 'entry']"
"['brihallofficial', 'httpstcoxznaydmf']"
"['tzirs', 'timeline', 'septuplets']"
"['jccaylen', 'addicted', 'thread', 'life']"
"['theaustinporter', '👁👁👀']"
"['mnrkive', 'didnt', 'thing']"
"['rt', 'nicole', 'flirt', 'w', 'girl\n\n', '', '', '', '', '', '', '', '', '█', '', '', '', '', '', '', '', '', '', '\u3000\u3000\n', '', '', '', '', '', '', '', '', '█\u3000', '', '', '', '', '', '', '', '\n', '', '', '', '', '', '', '', '', '█\u3000', '', '', '', '', '', '', '', '\n', '', '', '', '', '', '', '', '', '█\u3000', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '＿…']"
"['ogcorlin', 'sitting', 'waiting', 'picture']"
"['graysondolan', 'jeff', 'dolan', 'bust']"
"['holyfaulkner', 'twitter', 'level', 'expert']"
"['mattryanx', 'worse', 'tweet', 'mattryanx']"
"['torihinn', 'httpstcoeuokvlqfm']"
"['advil', 'day', 'mode', 'placebo', 'effect']"
"['deenashire', 'call', 'long', 'tuna', 'mayo', 'free']"
"['nikidemar', 'housewarming', 'tweet']"
"['erodz', 'character', 'count']"
"['aguillardtrevor', 'morphin', 'time']"
"['skoog', 'accurate']"
"['unclelondonn', 'wemetontwitter', 'proof']"
"['payformycoffee', 'reply', 'jittery']"
['casandrajasso']
['urisblush']
"['iamdahmmie', 'alexhouseof', 'thepamilerin', 'cutewalterr', 'kayomideee', 'zoomed']"
"['sketchesbyboze', 'tweet']"
['reedushiddles']
"['nategorby', 'detail']"
"['jordandaniels', 'save', 'candy', 'monday']"
"['francesf', 'blue', 'raspberry', 'disappoints']"
"['hxriffy', 'kdaigle', 'wordmasseur', 'reki', '💙']"
"['sherzcapone', 'happy', 'mystery']"
"['joshleviworld', 'supercharged', 'tweet']"
"['hotgirlfenty', 'thought', 'real', 'time']"
"['shtixx', 'future', 'shtix', 'failed']"
"['niconiiniconite', 'clockwork']"
"['leobeletsky', 'accepted']"
"['blainebow', 'keeping', 'kettle', 'hot']"
"['collinjustin', 'fast', 'track', 'sweet']"
"['iamapril', 'he', 'retweet']"
"['earthgang', 'priority', 'straight']"
"['thatssovarsha', 'idea']"
"['hopegisellekook', 'sopetoes', 'history']"
"['sopetoes', 'stan', 'twitter', 'running', 'keyboard', 'smash']"
"['coltonlhaynes', 'coffee', 'table', 'book', 'wed', 'open']"
"['andrearussett', 'person']"
"['matthewespinosa', '😀']"
"['awonderland', '']"
['ariherbibble']
"['drrenzo', 'time', 'wemetontwitter', 'moment']"
"['chippledipple', 'create']"
"['imactuallyivy', '💙']"
"['springgaytae', '💙']"
"['captainsparklez', 'reply', 'game', 'didnt', 'hit']"
"['rt', 'jarvis', 'people', 'act', 'twitter', 'light', 'mode', 'httpstcoilafpjvjw']"
"['dkl', '💍']"
"['annascup', 'real', 'header']"
['simpleflips']
"['alexlolbit', 'solitaire']"
"['nicknel', 'monday', 'fam']"
"['frenchconexxion', 'brag', 'dealt', 'card']"
"['bensonyeontan', 'sold']"
"['stealerofmotes', 'green']"
['randy']
"['tmggx', 'licklegracie', 'siete']"
"['saucymartial', 'reverse', 'reverse', 'criss', 'cross']"
"['deadlycoman', 'time', 'shuffle', 'deck']"
"['alejandrojiang', 'game', 'changer']"
"['vivianisrad', 'tres']"
['uno']
"['rt', 'justinbieber', 'retweet', 'tweet', 'tweet', 'twitter', 'tweet']"
"['ingridoliver', 'subtweet']"
"['itsallbollocks', 'long', 'reading']"
"['trungles', 'understand']"
"['medinamuaye', 'lizzie', 'miranda']"
"['mutablejoe', 'bait', 'switch']"
"['madampsychosis', 'reader', 'replied']"
"['czarbiya', '😉']"
"['juliamichaels', 'time', 'hashtag']"
"['elenastrikes', 'peak', 'twitter', 'moment']"
"['winbo', 'compatibility', 'test', 'like', 'match']"
"['punkerirl', 'tweet', 'altj', 'song']"
"['keywordkeenan', 'setting', 'thought', 'free', 'seventh', 'grade']"
"['hoverbird', 'plenty', 'room', 'hotel', 'california']"
"['minginugget', 'retweet']"
"['bbyvnte', 'time', 'champ']"
"['itsbalqeis', '', 'infer']"
['nicktendoswift']
"['waxdragonflies', 'rose', 'day']"
"['willne', 'memeulous', 'agree']"
"['taylvr', 'rule', 'tweeting', 'knowing', 'audience']"
"['karlakissez', 'worth']"
"['venuspriestess', 'throw', 'life', 'vest']"
"['notyoflower', 'tweet', 'review']"
"['lunachrissy', 'sksksksk']"
"['dogrates', 'goodest', 'dog']"
"['thesedamnwords', 'tweeting', 'favorite', 'cal', 'invite']"
"['snape', 'time']"
"['kappakappa', 'confirm']"
"['huntermoonshot', 'joeyj', 'charmed']"
"['kirkseriousface', 'plot', 'thickens']"
"['normanisnack', 'shorter', 'sweeter', 'week']"
"['melisazhen', 'star', 'stage', 'screen']"
"['henrysometimes', 'taking', 'show', 'road']"
"['davidgcant', 'turnstile', 'starstruck']"
"['tanbotha', 'lie', 'detected']"
['bezner']
"['lexxluthorr', 'audience']"
"['stevegarfield', 'miss']"
"['anjllyfish', 'purest', 'tweet', 'action']"
"['detail', 'rearrange', 'photo', 'writing', 'tweet', 'httpstcomllwmpbdx']"
"['thatcrazy', '😋', 'send', 'dm', 'deets', 'httpstcopkliacf']"
"['andyshz', '🍫sliding', 'dm', 'httpstcoccmdumo']"
"['imactuallyivy', 'nope', 'sending', 'sweet', 'treat', 'amp', 'dm', 'httpstcoaouaeewa']"
"['marialfl', 'tada', 'check', 'dm', 'httpstcodvnordx']"
"['shoryflores', 'sending', 'dm', '🍭', 'httpstcohtcazvseu']"
"['fatinearji', 'true', 'sliding', 'dm', 'httpstcowznjflxzs']"
"['prophecy', 'send', 'dm', 'deets', 'httpstcopbdzthtxtd']"
"['bouchardbriana', 'sweet', 'treat', 'amp', 'dm', 'heading', 'httpstcopbdazoq']"
"['francielyruti', '🍭🍬soon', 'send', 'dm', 'deets', 'httpstcowgafxy']"
"['francesf', '😘', 'check', 'dm', 'httpstcogedroeewf']"
"['normanisnack', 'yup', 'sliding', 'dm', 'httpstcouvcebeu']"
"['springgaytae', 'sweet', 'treat', 'amp', 'dm', 'comin', 'httpstcozzdtdsa']"
"['tinaaaclavell', '😋', 'sliding', 'dm', 'httpstcogiddzoqv']"
"['spideymang', '😋', 'send', 'dm', 'deets', 'httpstcoktwbelcjd']"
"['jordandaniels', 'sweet', 'treat', 'amp', 'dm', 'comin', 'httpstcorxoswjfu']"
"['hxriffy', 'check', 'dm', 'detail', 'httpstcogwzqrxpkom']"
"['keisha', 'sweet', 'treat', 'dm', 'comin', 'atcha', 'httpstcorlefmatzvi']"
"['lizzy', '😋', 'send', 'dm', 'deets', 'httpstconeigpdiau']"
"['zitoun', 'tada', 'check', 'dm', 'httpstcocicmfdkoe']"
"['hector', '😋', 'send', 'dm', 'deets', 'httpstcozdpnfsoc']"
"['briannabeckeru', '✨✨✨✨✨sliding', 'dm', 'httpstcoqiacpiyyxf']"
"['collinjustin', 'tada', 'check', 'dm', 'httpstcovazbebunuf']"
"['malikearnest', 'sweet', 'treat', 'dm', 'comin', 'atcha', 'httpstcozzpwrfmh']"
"['like', 'candy', '🍭']"
"['sulamatraore', 'true']"
['adacampbell']
"['connorrcoleman', 'time', 'track']"
"['thefoolmonty', 'yeah']"
"['rt', 'leslieberland', '👁👁', 'httpstcoqxedfqype']"
"['rt', 'leslieberland', '👀', 'httpstcokqmambpj']"
"['danielcake', 'union', 'square', 'subway', 'station']"
"['mazaje', 'jack', '💙']"
"['fuccl', 'selfless']"
"['needynext', 'wait']"
"['stxve', 'important', 'work']"
"['kehlani', 'build', 'character']"
"['sketchesbyboze', 'depends', 'dracula']"
"['chriswolfe', 'resourceful']"
"['sarahnahizu', 'translator']"
"['badboychadhoy', 'live', 'society']"
"['dragonflyjonez', 'time', 'lt', '\nhttpstcowawouger']"
['micaburton']
"['hunter', 'patiently', 'waiting']"
"['aubry', 'embrace']"
"['chimpsinsocks', 'pup', 'content', 'continues', 'deliver']"
"['kwabenawann', 'tweet']"
"['pgnakkiel', 'dekillsage', 'subtle']"
"['tascharoe', 'perfect', 'complementary', 'gif']"
"['malditangmayora', 'filter']"
"['frameshiftshark', 'httpstcofzmboo']"
"['lukewood', 'swipe']"
"['lukecutforth', 'httpstcorgqofyek']"
"['jokingly', 'irls', 'support']"
"['rt', 'arlanwashere', 'found', 'emoji', 'find', 'gif', 'twitter', 'wisguy', 'shooketh', 't…']"
"['heertohbadisad', 'joke', 'xos']"
"['cgarbi', 'hug']"
['evangelistneom']
"['stnces', 'delivering', 'hug', '🤗']"
"['ltx', 'clap', 'work']"
"['lanebandito', 'bffs', '💙']"
"['haajiyaska', 'work']"
"['arthurshorse', 'command']"
"['bensonyeontan', 'cc', 'btstwt']"
"['imrti', 'sending', 'hug']"
"['emojipedia', '🤗🤗🤗']"
['frayxxherondale']
"['eddiek', 'xoxo']"
['hug']
"['hoesokjin', 'happy', 'birthday']"
"['melaniescrofano', 'wont']"
"['npseaver', 'rough', 'draft']"
"['psychedelicnoel', 'duty']"
"['bubear', 'wait', 'mom', 'find', 'mutuals', 'friend', 'make']"
"['nathanbutlerart', 'sound', 'winnie', 'pooh', 'guest', 'tweeting', 'account']"
"['zndayah', 'gotta', 'tweet', 'hug', 'existence']"
"['swervybesson', 'group', 'people', 'mutuals']"
"['roseannenism', 'work', 'change']"
"['stevelarrington', 'lwwy', 'video', 'dropped']"
"['tinyeuphorian', 'second', 'sweet']"
"['realdreylo', 'grammar', 'error']"
"['labeautyologist', 'truth', 'hurt']"
"['diortweets', 'tweet']"
"['bryanyang', 'lady', 'gentleman', 'held', 'momentarily', 'due', 'viral', 'tweet']"
['umciao']
"['stopchrissy', 'wow', 'space']"
"['mcumarvels', 'x']"
"['jhsmeetsevll', 'garnish', 'make', 'meal']"
"['raplineiover', 'timeline', 'timed', 'test']"
"['ryanmccartan', 'responding', 'fast', 'cardio']"
"['slayyyter', 'streaming']"
['levelupdub']
"['nick', 'tweet']"
"['nutellapjms', 'irls', 'act']"
"['lovinggarbage', 'participation', 'priority']"
"['megancarnahan', 'tweeted', 'back']"
"['anytingsel', 'notch', 'friend']"
"['theybangtan', 'notchu', 'putting', 'back', 'timeline']"
"['atongyel', '', 'way', 'save']"
"['jbfan', 'kyleplantemoji', 'tweet', 'saved', 'note']"
"['trgrrl', 'tweet', 'honest', 'tweet']"
"['kimvanadium', 'twitter', 'notification', '', 'spidey', 'sense']"
"['theajayii', 'refined', 'august', '']"
"['dionnemarissa', 'back', 'school', 'tip']"
"['mokiawa', 'hot', 'hot', 'take']"
"['rainbowsdan', 'lowkey']"
"['khanstopme', 'unwritten', 'written']"
"['michaeldeforge', 'news', 'grading', 'system', 'passfail']"
"['wolfiecindy', 'wait']"
"['aksually', 'tombstone', 'viral']"
"['brittanybroski', 'nickcolletti', 'twitter', 'career', 'limit']"
"['aroach', 'calculator']"
"['alishamarie', 'pin']"
"['luulubuu', 'year', 'wearing', 'white', 'labor', 'day']"
"['yanaax', 'gotta', 'mute', '🔇🔇🔇🔇🔇🔇', 'mute']"
"['alejandregorge', 'wemetontwitter', 'cuffing', 'season']"
"['alvxxr', 'serve', 'incoming', '🔜']"
"['chalameche', '🤝']"
"['wittlowry', 'teamwitt', 'fire']"
"['sydneemcelroy', 'surprise', 'delight']"
"['orbitsungs', 'ice', 'cream']"
"['jerrypleasure', 'thread', 'life']"
"['tjhaly', '', 'winloss', 'record']"
"['tastless', '']"
"['numbercat', 'skynewsthompson', 'paw', 'tweet', 'wait', 'like', 'roll']"
"['treaclybot', 'b', 'tweet', 'tweet']"
"['explicitcherry', 'act', 'listening', 'nfr']"
"['gjankos', 'twitter', 'dream', 'true', 'time']"
"['rt', 'spongebob', '\nthis', 'tweet', 'httpstcoxlygxya']"
"['rt', 'chongotweet', 'joker', 'trailer', 'gave', 'twitter', 'powerful', 'weapon', 'imagine', 'ill', 'future', 'httpstcotlfw…']"
"['rt', 'marquisatwork', 'dear', 'twitter', 'kindest', 'person', 'app', 'follow', '\n\nno', 'qualifier', 'apply', 't…']"
"['neondoubt', 'howie', 'closed', 'mutual', 'deal']"
"['yeosangbf', 'give', 'aries', 'knowledge']"
"['anyabayerle', 'glass', 'half', 'full', 'kinda', 'tweet']"
"['samsora', 'tweeted', 'httpstcofbtuxxq']"
"['redisnthere', 'selfless', 'tweet', 'good', 'karma', 'coming']"
"['gwtears', '', '', '', '', '', '', 'we\n', '', '', '', '', '', '', '', '', 'we\n', '', '', 'we\n', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['therottingking', 'good', 'twitter']"
"['moistkombucha', 'tweet', 'world']"
"['clayharbs', 'drag', 'drag', 'funny']"
"['ramenhaemxmb', '🤝']"
"['iamcoolercam', 'he', 'alright', 'alright', 'alright']"
"['marabajado', 'twitter']"
"['briiczyhura', 'sequel', 'invite', 'kombucha', 'girl', 'kombucha', 'fridge']"
"['thewqsp', 'true', 'heir', 'sksksksk']"
"['vxder', 'steadfast']"
"['bwecht', 'congratulation', 'daughter', 'renesmee', 'cullen']"
"['baborskii', 'shooting', 'shot']"
"['urpetsnail', 'proud']"
"['hotyfolina', 'tummy', 'flip']"
['dropdeadlois']
"['signofthekatie', 'world']"
"['icecapps', 'real', 'twitter']"
"['riverspetal', 'congratulation', 'gorgeous', 'tweet']"
"['babyrat', 'talent', 'spun']"
"['seeyourdayiight', 'set', 'poll', '', 'hour', 'retweet']"
"['tobyonthetele', 'httpstcoqmftyqnn']"
"['veschwab', 'bookmarked']"
['ddaengifyuagree']
"['stacked', 'icebreaker']"
"['gomolemo', 'tweet', 'universe']"
"['cosmicjbieber', 'evergreen']"
['boo']
"['setsuhakimadesu', 'sam']"
['jimothybringus']
"['hobiskv', 'yup']"
"['keemkmg', 'hype', 'man']"
"['introvert', 'looked', 'crystal', 'ball']"
"['luigdifalazerd', 'baby']"
"['mlkmoonpie', 'ummmmmmm']"
"['joetheaverage', 'tweet', 'loud']"
[]
"['okaishawty', 'glad', 'kyleplantemoji']"
"['kennedywalsh', 'meeting', 'timeline']"
"['lukesos', 'babylovescal', 'hit', 'guy']"
"['katienolan', 'student', 'am', 'note']"
"['cioudydan', '🤭']"
"['deannoah', 'laying', 'twitter']"
"['boobklng', 'time', 'pick', 'fav']"
"['thewqsp', 'applause']"
['thewqsp']
"['ndbonusjonas', 'meme', 'worthy']"
['grapeintheface']
"['alanhenry', 'jellicle', 'moon', 'shining', 'bright', 'twitter']"
"['rachelsennott', 'tweeting', 'control', 'variable']"
"['rt', 'jiminsmemories', 'mom', 'make', 'twitter', 'account', 'follow', '', 'httpstcokjevzhnxvz']"
"['taelicia', 'gotta', 'enemy', 'green', 'day']"
"['tkalovell', 'building', 'block', 'stan', 'twitter']"
"['alexisscarrasco', 'bella', 'tweet']"
['yangszen']
"['faiththegemini', 'couldnt']"
"['monoraln', 'whats', 'fourth', 'panel']"
"['mainlybts', 'golden', 'twitter']"
"['thestylespics', 'full', 'circle']"
['inspiredkarla']
"['chelseaperetti', 'httpstcomjnihfl']"
"['gailsimone', 'rocketspouse', 'honestly', 'compliment']"
['devynlundy']
"['xwillzzzz', 'track', 'incline']"
"['officialjlipper', '\nweeeeee']"
"['frankthefox', 'darkylecube', 'tomorrow']"
"['sethgoodtime', 'learning']"
"['ghamburn', 'bathroom', 'line', 'long']"
"['dennicyclever', 'anymore', 'gave', 'back', 'borrowed']"
"['mlkmoonpie', '🎢']"
"['yeetwastoshort', 'anymore']"
"['bk', 'oui']"
"['darkylecube', 'expedition', 'everest']"
['morphfolina']
"['abdallh', 'roller', 'coaster', 'dropped']"
['weeeeeeeeeee']
"['samiamrosenberg', 'phantom', 'tweet']"
"['hybreed', 'suddenly', 'dark', 'light', 'mode', 'level', 'playing', 'field']"
"['harryallthelove', 'twitter']"
"['simonwhistler', 'httpstcotpjfsvy']"
"['champagnefatti', 'tattoo']"
"['mtgaaron', 'host', 'meeting', 'dm']"
"['quietcoolkid', 'og', 'mutuals']"
"['sliccmic', 'bee', 'knee']"
"['saradietschy', 'twitter', 'meme', '', 'august', '', 'httpstcoqwnenqy']"
"['leedawsonpt', 'fantastic']"
"['mobydickhead', 'blew', 'reply']"
"['danielhowell', 'feel', 'twitter', 'tutorial', 'video', 'incoming']"
"['edychitambo', 'working']"
"['sirvirgi', 'phd', 'tweeting', 'feel']"
"['plaguerton', 'landonsface', 'teamwork']"
"['vivianisrad', 'ya']"
"['adedamolaop', '💙']"
"['teduem', 'left']"
"['erdemkiev', 'jackpot']"
"['iddyudosen', 'missed']"
"['quudii', 'pls']"
"['owusuansahjere', 'give', 'back', 'promise']"
"['hunchoprice', 'huh']"
"['emojipedia', 'hm', 'thought', 'count']"
"['juanfuentesxii', 'promise']"
"['fortheculturehh', 'promise', 'battery']"
"['insomniacookies', 'tweet']"
"['hometownxdjh', '']"
"['allxncor', '⚡️']"
"['hilightofficial', 'yikes', 'share']"
"['salemwtchtrials', '']"
['charger']
"['sisypheanshade', 'time']"
"['deannaniki', 'mood', '\n🤡🤠💀']"
"['angelicdaze', '']"
"['rt', 'defnotsally', 'wanting', 'ur', 'bf', '', '', '', '', '', 'wanting', 'ur', 'bf\non', 'twitter', '', '', '', '', '', '', '', '', '', '', '', '', '', 'twitter', 'u\nso', 'laugh', '', '', '', '', '', '\nat', 'tweet…']"
"['emomimo', 'true']"
"['valkyrae', 'fitting']"
"['kthjjg', 'httpstcoqmftykbx']"
"['drakegatsby', 'retweet', 'anymore']"
"['danielhowell', 'mercury', 'finally', 'good']"
"['andylassner', 'inflight', 'tweet', 'gtgt']"
"['jacobwhitesides', 'tweet', 'universe', 'back']"
"['lizbissonette', 'legacy']"
"['mattgalyon', 'face', 'remembered', 'forever']"
"['john', 'forgot', '']"
"['ogieva', 'keanu']"
['ironsword']
"['jacksfilms', 'finn']"
"['mrcamkicks', 'hola', 'juan']"
"['scavenge', 'wheres', 'waldo', 'wheres', 'john']"
"['jeffswiper', 'channing', 'tatum', 'voice']"
"['caseymoran', 'patrick']"
['sbajibaba']
"['mrabidur', 'cake', 'baked', 'rainbow', 'smile']"
"['skibum', 'parker', 'phone']"
"['primedarmian', 'call', 'stacey\nthey', 'call', 'john\nthats', '\nthats']"
"['gameshed', 'john']"
['john']
"['chambieglow', 'real', 'recognizes', 'real']"
"['laurababiuk', 'people', 'knew', 'fame']"
"['simplymcmok', 'favorite', 'kind', 'tweet']"
"['landpsychology', 'give', 'kitten', 'twitter']"
"['classify', 'motion', 'wake']"
"['thenatewolf', 'wed', 'call', 'science']"
"['jaynooch', 'object']"
"['brucewiegner', 'circling', 'back', 'tweet', 'asked', 'tweet']"
"['cavellii', 'wasnt', 'real', 'meta']"
"['rxzwana', 'hitting', 'close', 'home']"
"['rt', 'tyleroakley', 'reading', 'twitter', 'draft', 'light', 'day', 'httpstcomwnfw']"
"['ialixoxox', 'dm']"
"['kingsleyk', '💍']"
"['tehfeekah', 'extra', 'tissue', 'sneezed']"
"['sureokae', 'timeline', 'real']"
"['yoonsfairie', 'ᵗᶦⁿʸ', 'ʸᵒᵒⁿᵍᶦ']"
"['morgxnnicolex', 'whyisthat', 'focusing']"
"['nothinbutlag', 'earning', 'degree', 'graduated', 'twitter', 'magna', 'cum', 'laude']"
"['awsten', 'crowdsource', 'tweet', 'rewrite', 'rest']"
"['kevinlangue', 'read', 'filth']"
"['tonystrnge', 'motorbike', 'httpstcohuwosaqwqu']"
"['czerrrsdead', 'time', 'alive']"
"['jenkirkman', 'ugh', 'embarrassing', '', 'responding', '']"
"['missalicatt', '👀']"
"['jenvargas', 'moviessilently', 'cape']"
"['asqp', 'word', 'heard', 'long', 'time']"
"['seddzzz', 'light', 'thing']"
"['lightmode', '👀']"
"['jinnieschicken', 'choice']"
"['itsmicrock', 'day', 'mode', '🕶️']"
"['cardibstan', 'loyalty']"
"['hrhyerimavii', 'option']"
"['rolandixor', 'neutrality', 'accepted']"
"['wallowsangei', 'energy', 'star']"
['aadeifee']
"['retweet', 'night', 'mode\n\nlike', 'day', 'mode']"
"['goodbeanalt', 'pure', 'selflove']"
"['ryanabe', 'setting', 'alarm']"
"['ohgodmylarents', 'b', 'effort']"
"['sunincinerator', 'tweet', 'giving', 'back', 'brilliant', 'hue']"
"['mariaacoss', 'howd', 'feel', 'accomplished', 'watching']"
"['haikaiya', 'good', 'honestly']"
"['beyoncelgbtq', 'miss', 'day']"
"['psychicterrain', 'secret', 'message']"
"['nihilisims', 'hyping', 'mutuals', 'good', '', 'time']"
"['hmsbandito', 'scroll', 'hit', 'send', 'crazy']"
