Tweet_lemmatized
"['tavoncooke', 'thrilling']"
"['domainechambord', 'favorite', 'chateau']"
"['datdustyy', 'october', 'doesnt', 'spooky']"
['roooossshhiiiii']
"['vinivinci', 'ignore', 'part']"
['month']
"['things—\n\n', 'retweets', 'comment', 'changing', 'quote', 'tweets\n\n', 'quote', 'tweet', 'to…', 'httpstcoujepaqfp']"
['barastrycova']
"['coffeetan', 'needed', 'stretch']"
"['hammyinmiami', 'mutuals', 'short', 'mutual', 'weirdness']"
"['heonbf', 'make', 'sense']"
"['nliddle', 'performance', 'mention', 'follow', 'day']"
['denzeldion']
"['ssr', '', 'september', 'summer']"
"['tweet', '', '\n\na', 'tribute', 'fit', 'king', '\n\nwakandaforever', 'httpstcolpyzmnivop']"
"['mecookiemonster', 'sending', 'cookie', 'httpstcovqbrkviw']"
"['niquotein', 'tweet']"
"['juliedicaro', 'table']"
"['nexttoecstasy', 'good']"
"['racailleux', 'thing', 'hed', 'react', 'scrolling', 'tweet']"
"['georgebacon', 'twitter', 'follower', 'breaking', 'mutual', 'kinda', 'sad']"
"['sidharthsbae', 'correct', 'love']"
"['thegodjihyostan', 'applying', 'low', 'maintenance', 'mutuals']"
"['elliottblackwe', 'sitting', 'debating', '', '', 'minute']"
"['oscarthegrouch', 'love']"
"['oscarthegrouch', 'edit', 'button']"
"['oscarthegrouch', 'pineapple', 'pizza']"
"['hey', 'oscarthegrouch', '']"
"['tested', 'tweeted', 'rolling', 'httpstcowqqdikz']"
"['busralcinar', 'nasa', 'love', 'mar', 'back', 'httpstcozppyyk']"
"['octaviaspencer', 'adrenaline', 'httpstcohxhilteh']"
"['astrotoya', 'solarrsystem', 'uh', 'httpstcouhuilgkb']"
"['nasapersevere', 'nasa', 'send', 'pic', 'check', 'make', 'work']"
"['rocketjoy', 'stuff', 'httpstcoyznzndpic']"
"['kazba', 'httpstcovbslsgea']"
"['solarrsystem', 'awake', 'httpstcovypvjknk']"
"['arshitasingh', 'let', 'blast', 'httpstcoxssweebsv']"
"['asherplangnan', 'httpstcosdkfgylvb']"
"['mariannemaexcxc', 'bring', 'bts', 'martian', 'httpstcozyecbwolmu']"
"['thismarcelo', 'gaga', 'suit', 'monster', 'httpstcohmemjnvk']"
"['kaitlynnraecook', 'life', 'mar', 'httpstcoggwnlhn']"
"['niaorea', 'sleep', 'flight', 'httpstcoanepnwmmg']"
"['nasa', 'nasapersevere', 'thought', 'month', 'long', 'time', 'kinda', 'met', 'touch']"
"['astrojaws', 'maejemison', 'nasapersevere', 'excited', 'watch', 'timeand', 'watch', 'liftoff', 'time']"
"['nasa', 'nasapersevere', 'joke', 'month']"
"['maejemison', 'astrojaws', 'earth', 'coffee', 'compare', 'space', 'coffee']"
"['nasa', 'nasapersevere', 'window', 'aisle', 'ride', 'middle', 'long']"
"['ladyboss', 'taking', 'httpstcomqyqqxfvu']"
['nasapersevere']
"['anannyauberoi', 'girl', 'break', 'back', 'httpstcoljnlokii']"
"['rajamali', 'goodbye', 'countdowntomars', 'httpstcovdjkmino']"
"['jaalaleisw', 'blast', 'httpstcozgctvzfa']"
"['wambugu', 'httpstcowiuolhd']"
"['shadab', 'hope', 'mar', 'httpstcovonodaaxk']"
"['nasapersevere', 'long', 'decide']"
"['theharshitgaur', 'ready', 'space', 'vocab', 'countdowntomars', 'httpstcotifrr']"
"['shellmithmutho', 'profile', 'pic', 'boarding', 'pas', 'countdowntomars', 'httpstcolzbcwajnym']"
"['iamdrumil', 'mission', 'change', 'profile', 'httpstcodgjaudz']"
"['mxgabichi', 'sing', 'sky', 'httpstcolrgukalwh']"
"['msrachel', 'brisk', '', 'degree', 'httpstcotgbeewxm']"
"['tugbabodrumlu', 'countdowntomars', 'httpstcokaarmrlxpt']"
"['oxygenpony', 'hand', 'remain', 'rocket', 'time', 'httpstcofykdqmwlp']"
"['crgp', 'weeeeeeeee', 'countdowntomars', 'httpstcojplwexzzcx']"
"['dezzanavarro', 'here', 'profile', 'pic', 'space', 'suit', 'httpstcojvolljhuam']"
"['nikorainbow', 'legend', 'mar', 'httpstcoulsxzwqax']"
"['anilyangin', 'loud', 'literally', 'marsmaybe', 'httpstcogxrdhvd']"
"['giovannatakai', 'heard', 'rocket', 'science', '', 'good', 'starting', 'point']"
"['eaglescat', 'orbit', 'httpstcojklkkybgp']"
"['alexduggan', 'selected', 'countdowntomars', 'httpstcocpuiksulw']"
"['beebee', 'byeeeee', 'countdowntomars', 'httpstcoebvwdsudh']"
"['tmntr', 'change', 'profile', 'pic', 'httpstcotixvxhvj']"
"['halderankita', 'rock', 'httpstcohrbpfohd']"
"['maejemison', 'meow', 'countdowntomars', 'httpstcolhnybxfcu']"
"['dhiyakussial', 'suited', 'ready', 'launch', 'httpstcocdrmsxbidi']"
"['sbartelt', 'fasten', 'seatbelt', 'update', 'profile', 'pic', 'httpstcobqytjzhjy']"
"['jayvirdee', 'shoot', 'moon', 'land', 'mar', 'httpstcoeojekvrgi']"
"['symplymma', 'mar', 'closer', 'httpstcobtkngeu']"
"['ncgriz', 'guy', 'mar', 'httpstconmmgcwfwj']"
"['emmalinejsmith', 'ready', 'httpstcokrlkxfgrx']"
"['iiiiiitsabi', 'mar', 'haha', 'jk', 'httpstcosbsekpf']"
"['astrojaws', 'made', 'vision', 'board', 'countdowntomars', 'httpstcoihzbaw']"
"['synstyxx', 'asked', 'nicely', 'httpstcorhkektk']"
"['regeneratedarts', 'saved', 'seat', 'made', 'profile', 'pic', 'let', 'goooooo', 'httpstcojecjbjef']"
"['michellcclark', 'mar', 'population', 'httpstcoxoktsfzft']"
"['arroncrascall', 'errrm', 'httpstconeqjtjj']"
"['giovannatakai', 'make', 'profile', 'pic', 'httpstcojyjfkfv']"
"['oba', 'mar', 'sound', 'httpstcocvuecurd']"
"['awesleyrogers', 'launch', 'countdowntomars', 'httpstcouedunooey']"
"['happylozza', 'seaside', 'mar', 'check', 'box', 'httpstcomrvrtducvu']"
"['omopobimbo', 'pack', 'bag', 'leave', 'tomorrow', 'countdowntomars', 'httpstcoslrzozsh']"
"['transported', 'planet']"
"['liftoff', 'countdowntomars', 'httpstcoylephfy']"
"['rt', 'twittersupport', 'unable', 'tweet', 'reset', 'password', 'review', 'address', 'incident']"
"['slide', 'dm', 'clicking', 'timeline\n\nrolling', 'web', 'httpstcobdaeyoypu']"
"['edit', 'button', 'wear', 'mask']"
"['nasasocial', 'good', 'news']"
"['chefszn', 'game']"
"['ericgagliardi', '']"
"['imbalamurugan', 'month']"
"['good', 'news', 'bad', 'news', '\n\n', 'half']"
"['📍', 'oakland\n🗣️', 'yolizama', 'httpstcolcgdlzajin']"
"['📍', 'york', 'city\n🗣️', 'afrikkana', 'httpstcotefspxu']"
"['📍', 'chicago\n🗣️', 'joshuakissi', 'httpstcozedxvjubx']"
"['📍', 'philadelphia\n🗣️', 'imanibarbarin', 'httpstcozrduipsu']"
"['📍', 'louisville\n🗣️', 'itsbarrrrett', 'httpstcovkvdeuaqb']"
"['📍', 'atlanta\n🗣️', 'berniceking', 'httpstcoupyvnwis']"
"['📍', 'minneapolis\n🗣️', 'fredtjoseph', 'httpstcolntokygug']"
"['rt', 'blackbird', 'juneteenth', 'celebration', 'freedom', 'freedom', 'joy\n\nblackjoy', 'form', 'resistance…']"
"['rt', 'twittertogether', 'juneteenth', 'represents', 'freedom', 'emancipation', 'liberation\n\nto', 'celebrate', 'juneteenth', 'black', 'history', 'its…']"
['httpstcodwfxqvy']
"['today', 'juneteenth\xa0\n\nwe’re', 'honored', 'opalayo', 'black', 'woman', 'cofounded…', 'httpstcozuwfrqwkqj']"
